materialNo,title,category,status,orderable,attributes
10000010,Krallen-Aufsatzbacken Typ SZKA 163,Spannelemente > Spannbacken > für B-Top und B-Top3,online = Verkaufsfreigabe,False,Baugröße=165; Backentyp=SZKA 163; Verzahnungsart=Kreuzversatz; Backenhöhe=40 mm; Backenbreite=30 mm; Spannbereich bei Grundbackenstellung 1=78-116; Spannbereich bei Grundbackenstellung 2=55-98; max. Spannlänge=20 mm; Schwingkreis-Ø=201; Beschreibung=»Alleskönner« mit maximalem Spannbereich; Werkstückbeschaffenheit=Rohteil; Selbst bearbeitbar=nein
10000039,Krallen-Aufsatzbacken TYP SZKA 213,Spannelemente > Spannbacken > für B-Top und B-Top3,online = Verkaufsfreigabe,False,Baugröße=215; Backentyp=SZKA 213; Verzahnungsart=Kreuzversatz; Backenhöhe=45 mm; Backenbreite=30 mm; Spannbereich bei Grundbackenstellung 1=97-172; Spannbereich bei Grundbackenstellung 2=59-134; max. Spannlänge=25 mm; Schwingkreis-Ø=265; Beschreibung=»Alleskönner« mit maximalem Spannbereich; Werkstückbeschaffenheit=Rohteil; Selbst bearbeitbar=nein
10000040,Krallen-Aufsatzbacken Typ SZKA 212,Spannelemente > Spannbacken > für B-Top und B-Top3,online = Verkaufsfreigabe,False,Baugröße=215; Backentyp=SZKA 212; Verzahnungsart=Kreuzversatz; Backenhöhe=45 mm; Backenbreite=26 mm; Spannbereich bei Grundbackenstellung 1=26-96; max. Spannlänge=25 mm; Schwingkreis-Ø=265; Beschreibung=»Alleskönner« mit maximalem Spannbereich; Werkstückbeschaffenheit=Rohteil; Selbst bearbeitbar=nein
10000077,Krallen-Aufsatzbacken Typ GST 315,Spannelemente > Spannbacken > für B-Top und B-Top3,online = Verkaufsfreigabe,False,"Baugröße=315; Backentyp=GST 315; Länge=116,3 mm; Backenhöhe=32 mm; Backenbreite=32 mm; max. Spannlänge=10 mm; Ø Spannbereich außen=15-125; Ø Spannbereich außen=82-192; Ø Spannbereich außen=138-248; Ø Spannbereich außen=194-304; Ø Spannbereich innen=76-186; Ø Spannbereich innen=130-240; Ø Spannbereich innen=158-268; Ø Spannbereich innen=250-360; Schwingkreis-Ø=250-360; Schwingkreis-Ø 2=248-258; Beschreibung=harte Stufenblockbacken mit großem Spannbereich; Werkstückbeschaffenheit=Rohteil; Selbst bearbeitbar=nein"
10000092,Krallenbacken VG10 hart InoFlex,Spannelemente > Spannbacken > für InoFlex > für InoFlex rotierend,online = Verkaufsfreigabe,False,"Baugröße=165; Passend für=VD / VT-S; Backentyp=VG10; Material=16MnCr5; Verzahnungsart=1,5 x 60° [Spitzverzahnung]; Länge=67 mm; Backenhöhe=35 mm; Backenbreite=32 mm; Spannbereich Außenspannung rund=30 – 165 mm; Spannbereich Außenspannung 4-kant=25 – 165 mm; Spannbereich Innenspannung rund=85 – 165 mm; Spannbereich Innenspannung 4-kant=84 – 165 mm; max. Spannlänge=15 mm; Standard Nutenstein=GP05; Beschreibung=»Alleskönner« mit verstellbarer Auflagehöhe durch Aufsatzbolzen; Werkstückbeschaffenheit=Rohteil; Selbst bearbeitbar=nein"
10000094,Grundbacken für B-Top Größe 315,Spannelemente > Spannbacken > für B-Top und B-Top3,online = Verkaufsfreigabe,False,"Baugröße=315; Backentyp=GBK 315; Verzahnungsart=Gerade Verzahnung; Aufnahme=Kreuzversatz; Länge=115 mm; Backenhöhe=43 mm; Backenbreite=32 mm; Beschreibung=Grundbacken für den Einsatz mit Aufsatzbacken; Werkstückbeschaffenheit=Fertigteil
Rohteil; Selbst bearbeitbar=nein"
10000133,MANDO / MAXXOS LAK-Spüladapter,Zubehör > Adapter zur Luftanlagenkontrolle,online = Verkaufsfreigabe,False,"Baugröße=MANDO XXS – 4 / MAXXOS A – F / Microspanndorn 1 – 8; Innen-Ø=12 H7 mm; Gesamtlänge=25,5 mm; Länge=19,5 mm; Länge 2=13 mm; Schlüsselweite=6 SW; Gewindegröße=M30 x 1,5"
10000172,TOROK RD 52,Spannfutter > Handspannfutter > TOROK,online = Verkaufsfreigabe,False,"Baureihe=RD; Baugröße=52; Rundlauf ≤=0,010 mm; max. Spannkraft radial=94 kN; max. Betätigungskraft [Zug / Druck]=40 kN; Flanschaufnahme=Ø 145 H7; Flansch Passlänge=5,1 mm; max. Betätigungsmoment=75 Nm; Drehzahl n max.=7000 1/min.; Spannbereich=3 – 52 mm; Lösehub im Ø=0,6 mm; Spannreserve im Ø=1 mm; Überbrückung / empfohlene Werkstücktoleranz=± 0,5 mm; Anschlagtiefe=90 mm; Ø Durchlass=53 mm; Anschlaggewindegröße=10 M; Aufnahme Frontanschlag=Ø 125 f7; Länge=92 mm; Zentrierlänge=17 mm; Gesamtlänge=120 mm; Spannreserve axial=2 mm; Lösehub axial=2,5 mm; Befestigungslochkreis=LK Ø 156 [6 x M8]; Außen-Ø=174 mm; Gewicht=12,6 kg; Min. Spannbereich=3 mm; Max. Spannbereich=52 mm; Betätigung=handbetätigt"
10000173,TOROK RD 65,Spannfutter > Handspannfutter > TOROK,online = Verkaufsfreigabe,False,"Baureihe=RD; Baugröße=65; Rundlauf ≤=0,010 mm; max. Spannkraft radial=105 kN; max. Betätigungskraft [Zug / Druck]=45 kN; Flanschaufnahme=Ø 162 H7; Flansch Passlänge=5,1 mm; max. Betätigungsmoment=90 Nm; Drehzahl n max.=6000 1/min.; Spannbereich=3 – 65 mm; Lösehub im Ø=0,6 mm; Spannreserve im Ø=1 mm; Überbrückung / empfohlene Werkstücktoleranz=± 0,5 mm; Anschlagtiefe=92 mm; Ø Durchlass=66 mm; Anschlaggewindegröße=12 M; Aufnahme Frontanschlag=Ø 145 f7; Länge=97 mm; Zentrierlänge=14 mm; Gesamtlänge=125 mm; Spannreserve axial=2 mm; Lösehub axial=2,5 mm; Befestigungslochkreis=LK Ø 176 [6 x M8]; Außen-Ø=194 mm; Gewicht=15,2 kg; Min. Spannbereich=3 mm; Max. Spannbereich=65 mm; Betätigung=handbetätigt"
10000174,TOROK SE 52,Spannfutter > Handspannfutter > TOROK,online = Verkaufsfreigabe,False,"Baureihe=SE; Baugröße=52; Rundlauf ≤=0,015 mm; max. Spannkraft radial=108 kN; max. Betätigungskraft [Zug / Druck]=40 kN; Flanschaufnahme=Ø 145 H7; Flansch Passlänge=5,1 mm; max. Betätigungsmoment=75 Nm; Drehzahl n max.=7000 1/min.; Spannbereich=3 – 52 mm; Lösehub im Ø=0,6 mm; Spannreserve im Ø=2 mm; Überbrückung / empfohlene Werkstücktoleranz=± 0,5 mm; Anschlagtiefe=90 mm; Ø Durchlass=53 mm; Anschlaggewindegröße=10 M; Aufnahme Frontanschlag=Ø 125 f7; Länge=92 mm; Zentrierlänge=17 mm; Lochkreisanschlag TOPlus mini / premium=LK Ø 105 [3 x M8]; Lochkreisanschlag alle außer TOPlus mini / premium=LK Ø 107 [3 x M6]; Gesamtlänge=120 mm; Spannreserve axial=2 mm; Lösehub axial=2,5 mm; Befestigungslochkreis=LK Ø 156 [6 x M8]; Außen-Ø=174 mm; Gewicht=12,6 kg; Min. Spannbereich=3 mm; Max. Spannbereich=52 mm; Betätigung=handbetätigt"
10000175,TOROK SE 65,Spannfutter > Handspannfutter > TOROK,online = Verkaufsfreigabe,False,"Baureihe=SE; Baugröße=65; Rundlauf ≤=0,015 mm; max. Spannkraft radial=120 kN; max. Betätigungskraft [Zug / Druck]=45 kN; Flanschaufnahme=Ø 162 H7; Flansch Passlänge=5,1 mm; max. Betätigungsmoment=90 Nm; Drehzahl n max.=6000 1/min.; Spannbereich=3 – 65 mm; Lösehub im Ø=0,6 mm; Spannreserve im Ø=2 mm; Überbrückung / empfohlene Werkstücktoleranz=± 0,5 mm; Anschlagtiefe=92 mm; Ø Durchlass=66 mm; Anschlaggewindegröße=12 M; Aufnahme Frontanschlag=Ø 145 f7; Länge=97 mm; Zentrierlänge=14 mm; Lochkreisanschlag TOPlus mini / premium=LK Ø 112 [3 x M8]; Lochkreisanschlag alle außer TOPlus mini / premium=LK Ø 126 [3 x M6]; Gesamtlänge=125 mm; Spannreserve axial=2 mm; Lösehub axial=2,5 mm; Befestigungslochkreis=LK Ø 176 [6 x M8]; Außen-Ø=194 mm; Gewicht=15,2 kg; Min. Spannbereich=3 mm; Max. Spannbereich=65 mm; Betätigung=handbetätigt"
10000220,Spindelflansch TOROK 52 SE / RD,Zubehör > Flansche/Zugrohradapter,online = Verkaufsfreigabe,False,"Baugröße=52; Spindelaufnahme=KK5; Länge 2=20 mm; Schnittstelle=Ø 145 g5; Schnittstellenlochkreis=LK Ø 156 [6 x M8]; Außen-Ø=195 mm; Befestigungslochkreis=LK Ø 104,8 [4 x M10]; Variante=Stehbolzen DIN ISO 702-3 M10x43"
10000221,Spindelflansch TOROK 52 SE / RD,Zubehör > Flansche/Zugrohradapter,online = Verkaufsfreigabe,False,"Baugröße=52; Spindelaufnahme=KK6; Länge 2=20 mm; Schnittstelle=Ø 145 g5; Schnittstellenlochkreis=LK Ø 156 [6 x M8]; Außen-Ø=195 mm; Befestigungslochkreis=LK Ø 133,4 [4 x M12]; Variante=Stehbolzen DIN ISO 702-3 M12x50"
10000222,Spindelflansch TOROK 52 SE / RD,Zubehör > Flansche/Zugrohradapter,online = Verkaufsfreigabe,False,"Baugröße=52; Spindelaufnahme=KK8; Länge 2=20 mm; Schnittstelle=Ø 145 g5; Schnittstellenlochkreis=LK Ø 156 [6 x M8]; Außen-Ø=210 mm; Befestigungslochkreis=LK Ø 171,4 [4 x M16]; Variante=Stehbolzen DIN ISO 702-3 M16x60"
10000223,Spindelflansch TOROK 65 SE / RD,Zubehör > Flansche/Zugrohradapter,online = Verkaufsfreigabe,False,"Baugröße=65; Spindelaufnahme=KK5; Länge 2=20 mm; Schnittstelle=Ø 162 g5; Schnittstellenlochkreis=LK Ø 176 [6 x M8]; Außen-Ø=195 mm; Befestigungslochkreis=LK Ø 104,8 [4 x M10]; Variante=Stehbolzen DIN ISO 702-3 M10x43"
10000224,Spindelflansch TOROK 65 SE / RD,Zubehör > Flansche/Zugrohradapter,online = Verkaufsfreigabe,False,"Baugröße=65; Spindelaufnahme=KK6; Länge 2=20 mm; Schnittstelle=Ø 162 g5; Schnittstellenlochkreis=LK Ø 176 [6 x M8]; Außen-Ø=195 mm; Befestigungslochkreis=LK Ø 133,4 [4 x M12]; Variante=Stehbolzen DIN ISO 702-3 M12x50"
10000225,Spindelflansch TOROK 65 SE / RD,Zubehör > Flansche/Zugrohradapter,online = Verkaufsfreigabe,False,"Baugröße=65; Spindelaufnahme=KK8; Länge 2=20 mm; Schnittstelle=Ø 162 g5; Schnittstellenlochkreis=LK Ø 176 [6 x M8]; Außen-Ø=210 mm; Befestigungslochkreis=LK Ø 171,4 [4 x M16]; Variante=Stehbolzen DIN ISO 702-3 M16x60"
10000250,Einbauhilfe für Tiefenanschlag,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,
10000301,vario quick - Standard-Set Größe 32,Zubehör > Anschlagsystem vario > vario quick > Sets,online = Verkaufsfreigabe,False,"Baugröße=32; Passend für=SPANNTOP nova; Variante=Standard-Set; Set beinhaltet neben der Grundausstattung*=Anschlagschraube Ø 15,5 / 29 mm
Rohlingschraube Ø 30 mm"
10000302,vario quick - Standard-Set Größe 42,Zubehör > Anschlagsystem vario > vario quick > Sets,online = Verkaufsfreigabe,False,"Baugröße=42; Passend für=SPANNTOP nova; Variante=Standard-Set; Set beinhaltet neben der Grundausstattung*=Anschlagschraube Ø 15,5 / 29 / 39 mm
Rohlingschraube Ø 40 mm"
10000303,vario quick - Standard-Set Größe 52,Zubehör > Anschlagsystem vario > vario quick > Sets,online = Verkaufsfreigabe,False,"Baugröße=52; Passend für=TOPlus
SPANNTOP nova; Variante=Standard-Set; Set beinhaltet neben der Grundausstattung*=Anschlagschraube Ø 15,5 / 29 / 39 / 49 mm
Rohlingschraube Ø 50 mm
Späneschutzring"
10000304,vario quick - Standard-Set Größe 65,Zubehör > Anschlagsystem vario > vario quick > Sets,online = Verkaufsfreigabe,False,"Baugröße=65; Passend für=TOPlus
SPANNTOP nova; Variante=Standard-Set; Set beinhaltet neben der Grundausstattung*=Anschlagschraube Ø 15,5 / 29 / 39 / 49 / 59 mm
Rohlingschraube Ø 63 mm
Späneschutzring"
10000305,vario quick - Standard-Set Größe 65,Zubehör > Anschlagsystem vario > vario quick > Sets,online = Verkaufsfreigabe,False,"Baugröße=65; Passend für=MANOK plus Stahl SE/RD; Variante=Standard-Set; Set beinhaltet neben der Grundausstattung*=Anschlagschraube Ø 15,5 / 29 / 39 / 49 / 59 mm
Rohlingschraube Ø 63 mm
Späneschutzring"
10000307,vario quick - Standard-Set Größe 80,Zubehör > Anschlagsystem vario > vario quick > Sets,online = Verkaufsfreigabe,False,"Baugröße=80; Passend für=SPANNTOP nova; Variante=Standard-Set; Set beinhaltet neben der Grundausstattung*=Anschlagschraube Ø 15,5 / 29 / 39 / 49 / 59 / 69 / 79 mm
Rohlingschraube Ø 78 mm
Späneschutzring"
10000310,vario quick - Starter-Set Größe 32,Zubehör > Anschlagsystem vario > vario quick > Sets,online = Verkaufsfreigabe,False,"Baugröße=32; Passend für=SPANNTOP nova; Variante=Starter-Set; Set beinhaltet neben der Grundausstattung*=Anschlagschraube Ø 15,5 mm
Rohlingschraube Ø 30 mm"
10000311,vario quick - Starter-Set Größe 42,Zubehör > Anschlagsystem vario > vario quick > Sets,online = Verkaufsfreigabe,False,"Baugröße=42; Passend für=SPANNTOP nova; Variante=Starter-Set; Set beinhaltet neben der Grundausstattung*=Anschlagschraube Ø 15,5 / 29 mm
Rohlingschraube Ø 40 mm"
10000312,vario quick - Starter-Set Größe 52,Zubehör > Anschlagsystem vario > vario quick > Sets,online = Verkaufsfreigabe,False,"Baugröße=52; Passend für=TOPlus
SPANNTOP nova; Variante=Starter-Set; Set beinhaltet neben der Grundausstattung*=Anschlagschraube Ø 15,5 / 39 mm
Rohlingschraube Ø 50 mm
Späneschutzring"
10000313,vario quick - Starter-Set Größe 65,Zubehör > Anschlagsystem vario > vario quick > Sets,online = Verkaufsfreigabe,False,"Baugröße=65; Passend für=TOPlus
SPANNTOP nova; Variante=Starter-Set; Set beinhaltet neben der Grundausstattung*=Anschlagschraube Ø 15,5 / 39 mm
Rohlingschraube Ø 63 mm
Späneschutzring"
10000314,vario quick - Starter-Set Größe 65,Zubehör > Anschlagsystem vario > vario quick > Sets,online = Verkaufsfreigabe,False,"Baugröße=65; Passend für=MANOK plus Stahl SE/RD; Variante=Starter-Set; Set beinhaltet neben der Grundausstattung*=Anschlagschraube Ø 15,5 / 39 mm
Rohlingschraube Ø 63 mm
Späneschutzring"
